,group,pii,accuracy,f1,precision,recall
0,male,sex,0.9453860640301318,0.5396825396825397,0.9444444444444444,0.37777777777777777
1,female,sex,0.9102990033222591,0.6301369863013698,0.8518518518518519,0.5
2,white,race,0.9436363636363636,0.6172839506172839,0.8333333333333334,0.49019607843137253
3,non-white,race,1.0,1.0,1.0,1.0
4,private,insurance,0.9696969696969697,0.42857142857142855,1.0,0.2727272727272727
5,government,insurance,0.905693950177936,0.5391304347826087,0.8378378378378378,0.3974358974358974
6,forties,age-group,0.96875,0.0,0.0,0.0
7,fifties,age-group,0.9607843137254902,0.0,0.0,0.0
8,sixties,age-group,0.9361702127659575,0.5714285714285714,0.8888888888888888,0.42105263157894735
9,seventies,age-group,0.9170305676855895,0.5581395348837208,0.8571428571428571,0.41379310344827586
10,eighty-and-over,age-group,0.8804347826086957,0.5769230769230769,0.8823529411764706,0.42857142857142855
