,group,pii,accuracy,f1,precision,recall
0,male,sex,0.7909604519774012,0.8556566970091027,0.8063725490196079,0.9113573407202216
1,female,sex,0.7807308970099668,0.7692307692307693,0.7482993197278912,0.7913669064748201
2,white,race,0.8036363636363636,0.8425655976676385,0.8140845070422535,0.8731117824773413
3,non-white,race,0.6304347826086957,0.7384615384615384,0.5853658536585366,1.0
4,private,insurance,0.875,0.9281045751633987,0.8765432098765432,0.9861111111111112
5,government,insurance,0.7544483985765125,0.7561837455830388,0.7482517482517482,0.7642857142857142
6,forties,age-group,0.859375,0.9243697478991597,0.859375,1.0
7,fifties,age-group,0.8366013071895425,0.9110320284697508,0.8366013071895425,1.0
8,sixties,age-group,0.7819148936170213,0.8498168498168498,0.7945205479452054,0.9133858267716536
9,seventies,age-group,0.7205240174672489,0.7419354838709677,0.696969696969697,0.7931034482758621
10,eighty-and-over,age-group,0.7934782608695652,0.6415094339622641,0.7555555555555555,0.5573770491803278
