,category,pii,accuracy,f1,precision,recall
0,entire-population,,0.9266826923076923,0.5343511450381679,0.875,0.38461538461538464
1,male,sex,0.9416195856873822,0.5079365079365079,0.8888888888888888,0.35555555555555557
2,female,sex,0.9003322259136213,0.5588235294117647,0.8636363636363636,0.41304347826086957
3,white,race,0.94,0.56,0.875,0.4117647058823529
4,non-white,race,0.9782608695652174,0.8,0.6666666666666666,1.0
5,private,insurance,0.9696969696969697,0.42857142857142855,1.0,0.2727272727272727
6,government,insurance,0.9074733096085409,0.543859649122807,0.8611111111111112,0.3974358974358974
7,forties,age-group,0.984375,0.6666666666666666,1.0,0.5
8,fifties,age-group,0.9673202614379085,0.4444444444444444,0.6666666666666666,0.3333333333333333
9,sixties,age-group,0.9308510638297872,0.4799999999999999,1.0,0.3157894736842105
10,seventies,age-group,0.9170305676855895,0.5365853658536586,0.9166666666666666,0.3793103448275862
11,eighty-and-over,age-group,0.875,0.5660377358490566,0.8333333333333334,0.42857142857142855
