,category,pii,accuracy,f1,precision,recall
0,entire-population,,0.921875,0.5695364238410596,0.7166666666666667,0.4725274725274725
1,male,sex,0.935969868173258,0.5277777777777777,0.7037037037037037,0.4222222222222222
2,female,sex,0.8970099667774086,0.6075949367088608,0.7272727272727273,0.5217391304347826
3,white,race,0.9381818181818182,0.6136363636363636,0.7297297297297297,0.5294117647058824
4,non-white,race,0.9782608695652174,0.8,0.6666666666666666,1.0
5,private,insurance,0.9734848484848485,0.5882352941176471,0.8333333333333334,0.45454545454545453
6,government,insurance,0.896797153024911,0.553846153846154,0.6923076923076923,0.46153846153846156
7,forties,age-group,1.0,1.0,1.0,1.0
8,fifties,age-group,0.954248366013072,0.3636363636363636,0.4,0.3333333333333333
9,sixties,age-group,0.9468085106382979,0.6666666666666666,0.9090909090909091,0.5263157894736842
10,seventies,age-group,0.8951965065502183,0.5,0.631578947368421,0.41379310344827586
11,eighty-and-over,age-group,0.8695652173913043,0.5862068965517241,0.7391304347826086,0.4857142857142857
