,group,pii,accuracy,f1,precision,recall
0,male,sex,0.9340866290018832,0.5070422535211268,0.6923076923076923,0.4
1,female,sex,0.8837209302325582,0.5783132530120482,0.6486486486486487,0.5217391304347826
2,white,race,0.94,0.5925925925925927,0.8,0.47058823529411764
3,non-white,race,0.9130434782608695,0.5,0.3333333333333333,1.0
4,private,insurance,0.9696969696969697,0.5000000000000001,0.8,0.36363636363636365
5,government,insurance,0.896797153024911,0.5606060606060607,0.6851851851851852,0.47435897435897434
6,forties,age-group,0.984375,0.6666666666666666,1.0,0.5
7,fifties,age-group,0.954248366013072,0.2222222222222222,0.3333333333333333,0.16666666666666666
8,sixties,age-group,0.9308510638297872,0.5517241379310345,0.8,0.42105263157894735
9,seventies,age-group,0.8951965065502183,0.52,0.6190476190476191,0.4482758620689655
10,eighty-and-over,age-group,0.8695652173913043,0.5714285714285714,0.7619047619047619,0.45714285714285713
