,category,pii,accuracy,f1,precision,recall
0,entire-population,,0.7932692307692307,0.8339768339768339,0.8059701492537313,0.864
1,male,sex,0.8041431261770244,0.8624338624338624,0.8253164556962025,0.9030470914127424
2,female,sex,0.7740863787375415,0.757142857142857,0.75177304964539,0.762589928057554
3,white,race,0.8,0.8401162790697675,0.8095238095238095,0.8731117824773413
4,non-white,race,0.7608695652173914,0.7999999999999999,0.7096774193548387,0.9166666666666666
5,private,insurance,0.8674242424242424,0.9234135667396062,0.8755186721991701,0.9768518518518519
6,government,insurance,0.7580071174377224,0.76140350877193,0.7482758620689656,0.775
7,forties,age-group,0.890625,0.9380530973451328,0.9137931034482759,0.9636363636363636
8,fifties,age-group,0.8627450980392157,0.9225092250922509,0.8741258741258742,0.9765625
9,sixties,age-group,0.7925531914893617,0.8592057761732852,0.7933333333333333,0.937007874015748
10,seventies,age-group,0.74235807860262,0.7531380753138075,0.7317073170731707,0.7758620689655172
11,eighty-and-over,age-group,0.7554347826086957,0.5871559633027523,0.6666666666666666,0.5245901639344263
