,category,pii,accuracy,f1,precision,recall
0,entire-population,,0.7824519230769231,0.8267942583732057,0.7926605504587156,0.864
1,male,sex,0.7928436911487758,0.8548812664907651,0.8161209068010076,0.8975069252077562
2,female,sex,0.7641196013289037,0.7526132404181185,0.7297297297297297,0.7769784172661871
3,white,race,0.7854545454545454,0.8309455587392551,0.7901907356948229,0.8761329305135952
4,non-white,race,0.7391304347826086,0.7777777777777777,0.7,0.875
5,private,insurance,0.8598484848484849,0.9183222958057394,0.8776371308016878,0.9629629629629629
6,government,insurance,0.7455516014234875,0.7547169811320754,0.7260726072607261,0.7857142857142857
7,forties,age-group,0.90625,0.9473684210526316,0.9152542372881356,0.9818181818181818
8,fifties,age-group,0.8431372549019608,0.9104477611940298,0.8714285714285714,0.953125
9,sixties,age-group,0.7925531914893617,0.8571428571428572,0.8013698630136986,0.9212598425196851
10,seventies,age-group,0.7117903930131004,0.738095238095238,0.6838235294117647,0.8017241379310345
11,eighty-and-over,age-group,0.7554347826086957,0.5945945945945946,0.66,0.5409836065573771
