,group,pii,accuracy,f1,precision,recall
0,male,sex,0.7815442561205274,0.8481675392670157,0.8039702233250621,0.8975069252077562
1,female,sex,0.7740863787375415,0.7655172413793104,0.7350993377483444,0.7985611510791367
2,white,race,0.7927272727272727,0.8323529411764706,0.8108882521489972,0.8549848942598187
3,non-white,race,0.5217391304347826,0.6857142857142856,0.5217391304347826,1.0
4,private,insurance,0.8409090909090909,0.9086956521739131,0.8565573770491803,0.9675925925925926
5,government,insurance,0.7455516014234875,0.7504363001745202,0.7337883959044369,0.7678571428571429
6,forties,age-group,0.875,0.9322033898305084,0.873015873015873,1.0
7,fifties,age-group,0.8496732026143791,0.9169675090252708,0.8523489932885906,0.9921875
8,sixties,age-group,0.7606382978723404,0.8363636363636363,0.777027027027027,0.905511811023622
9,seventies,age-group,0.7117903930131004,0.7317073170731708,0.6923076923076923,0.7758620689655172
10,eighty-and-over,age-group,0.7663043478260869,0.6126126126126127,0.68,0.5573770491803278
